time,speed,GPS_long,GPS_lat,GPS_heading,long_accel,lat_accel,vector_accel,vert_accel,hr,scl,LaneChangeLeft,LaneChangeRight,TurnLeft,TurnRight,GoStraight
15.5,0.256417491,-83.23096103,42.31940287,50.86682129,-0.091197917,-0.331354168,0.343766379,0.976171875,87.78850717,77.22001523,0,0,0,0,1
15.6,0.248039141,-83.23096093,42.31940265,50.86682129,-0.091757812,-0.334270835,0.346695656,0.973046875,88.0468574,77.26616792,0,0,0,0,1
15.7,0.242365296,-83.23096083,42.31940243,50.86682129,-0.090963542,-0.335533854,0.34766542,0.97734375,88.31735779,77.28460506,0,0,0,0,1
15.8,0.234586078,-83.23096073,42.31940221,50.86682129,-0.090794271,-0.33300781,0.345175648,0.976953125,88.58547138,77.28110304,0,0,0,0,1
15.9,0.221114822,-83.23096063,42.31940199,52.31604004,-0.089869791,-0.334908858,0.346772748,0.97421875,88.83706657,77.29020924,0,0,0,0,1
16,0.216225152,-83.23096053,42.31940177,52.31604004,-0.088515624,-0.336028644,0.347500384,0.97890625,89.05954144,77.30500641,0,0,0,0,1
16.1,0.221778211,-83.23096051,42.31940172,50.38354874,-0.088619791,-0.335963541,0.347464997,0.975,89.17892306,77.33000337,0,0,0,0,1
16.2,0.226161292,-83.23096053,42.31940175,50.38354874,-0.088203124,-0.333749998,0.345221183,0.975,89.25736139,77.38376483,0,0,0,0,1
16.3,0.224672925,-83.23096055,42.31940178,46.7292099,-0.088294271,-0.332343745,0.343891689,0.978515625,89.29557967,77.41830336,0,0,0,0,1
16.4,0.229635613,-83.23096057,42.31940181,46.7292099,-0.088164063,-0.332942709,0.344439626,0.97578125,89.2975991,77.44562614,0,0,0,0,1
16.5,0.222751528,-83.23096059,42.31940184,41.2673912,-0.087734375,-0.333346364,0.344718423,0.976953125,89.27044912,77.45807262,0,0,0,0,1
16.6,0.219929653,-83.23096061,42.31940187,41.2673912,-0.086731771,-0.333020833,0.34414165,0.976171875,89.2235692,77.49175445,0,0,0,0,1
16.7,0.222988243,-83.23096063,42.3194019,39.04428101,-0.086080729,-0.332942709,0.34389877,0.975390625,89.16794998,77.52120532,0,0,0,0,1
16.8,0.223636349,-83.23096065,42.31940193,39.04428101,-0.086315104,-0.331549478,0.342621762,0.97578125,89.11509255,77.56887518,0,0,0,0,1
16.9,0.232014205,-83.23096067,42.31940196,41.78453827,-0.087916667,-0.326848957,0.338505575,0.977734375,89.07588905,77.59407957,0,0,0,0,1
17,0.23516352,-83.23096069,42.31940199,41.78453827,-0.088229167,-0.324505213,0.336321375,0.983984375,89.05954144,77.6276777,0,0,0,0,1
17.1,0.228538457,-83.23096089,42.31940208,45.01084137,-0.087708334,-0.324023435,0.335714737,0.978125,89.00945027,77.59894142,0,0,0,0,1
17.2,0.226086745,-83.23096116,42.3194022,45.01084137,-0.084973958,-0.329101563,0.339924076,0.978125,88.9972738,77.56187579,0,0,0,0,1
17.3,0.225922985,-83.23096143,42.31940232,39.74650955,-0.082278646,-0.331627601,0.341706526,0.976171875,89.02701828,77.49054325,0,0,0,0,1
17.4,0.235553333,-83.2309617,42.31940244,39.74650955,-0.082447919,-0.333958334,0.344042784,0.977734375,89.09888362,77.41559661,0,0,0,0,1
17.5,0.258403108,-83.23096197,42.31940256,40.3026123,-0.086432291,-0.332565096,0.343742481,0.976953125,89.20954848,77.36301776,0,0,0,0,1
17.6,0.258577499,-83.23096224,42.31940268,40.3026123,-0.085377605,-0.332278642,0.343251911,0.97421875,89.3527,77.36266481,0,0,0,0,1
17.7,0.256979467,-83.23096251,42.3194028,37.34926224,-0.083489583,-0.3328776,0.343348557,0.980859375,89.5197315,77.31693587,0,0,0,0,1
17.8,0.282264751,-83.23096278,42.31940292,37.34926224,-0.080690105,-0.334192705,0.343863615,0.97265625,89.70052927,77.31147531,0,0,0,0,1
17.9,0.285458091,-83.23096305,42.31940304,37.48418045,-0.083307292,-0.333281255,0.343569118,0.976953125,89.88427593,77.276563,0,0,0,0,1
18,0.274998325,-83.23096332,42.31940316,37.48418045,-0.08640625,-0.333346358,0.344391578,0.978515625,90.06021045,77.25920042,0,0,0,0,1
18.1,0.269213855,-83.23096346,42.31940326,33.72809982,-0.086705728,-0.330429691,0.341659057,0.972265625,90.15656793,77.26385183,0,0,0,0,1
18.2,0.251174669,-83.23096354,42.31940334,33.72809982,-0.086992188,-0.328984377,0.34033742,0.981640625,90.23140376,77.29084573,0,0,0,0,1
